Web host;Storage size;Max. file size;Traffic or bandwidth limit;Remote uploading?;Developer API?;FTP upload possible?;File versioning;Follows symlinks;Client-side encryption;Free GB (number only);Append-only support?;Lifecycle Policy support?;Misc. notes
Amazon Drive;5 GB 3 mo. free trial, up to 30 TB paid;2 GB upload via Web, 50 GB per file via Drive app and third party clients;Amazon S3 limits;No;Yes;No;No;?;?;5;;;Free 5GB for everybody, except Mexico and China.
Amazon S3;5 GB 12-month free trial with credit-card, (paid bandwidth), unlimited paid;5 GB per file, unlimited files per bucket;Amazon S3 limits;No;REST, SOAP;?;Yes;?;?;0;;;N/A
Baidu Cloud;2 TB (6 GB free);4 GB free, 20 GB paid;Traffic limit is not stable, after going over the traffic limit, there is a bandwidth limited to 500 KB/s then 10 KB/s after another traffic limit.;Yes;Yes;No;No;No;?;6;;;Currently in China only
Backblaze B2;10 GB free, unlimited paid;?;?;?;Yes;?;Yes;?;?;10;fileWrite allows existing files to become "hidden", which may get deleted with lifecycle rule daysFromHidingToDeleting;Yes;
BorgBase;5 GB free, unlimited paid;?;?;?;Yes;?;?;?;?;5;Yes;?;
Box;free trial, 100 GB paid (Starter), Unlimited Business, Unlimited Enterprise;250 MB free Personal, 5 GB paid Personal, 5 GB Business, 5 GB Enterprise;10 GB/month free, 2 TB/month paid;30 MB per file via IFTTT;Yes;Business and Enterprise customers only;Some (premium);No;?;10;;;Does not sync Mac files such as iWork (Keynote etc.). Does not support Linux OS. 50 GB free with Sony Xperia or HP Spectre 13
CloudMe;3 GB free, +500 MB for referrals up to 16 GB, 500 GB paid;150 MB free, Unlimited premium;None;No;REST, SOAP, WebDAV;No;Rarely (60 days);?;?;3;;;Primarily focused on media files, synchronization and backup with web sharing.
Dropbox;2 GB free, +500 MB for referrals up to 18 GB, 1 TB, 2 TB, or unlimited paid;10 GB, Unlimited using client application;20 GB/day free, 200 GB/day paid;No;Yes;No;30 days by default, 1 year w/ add-on;Yes;No;2;;;Synchronization, backup and websharing. Does support Linux OS 25 GB free with HTC Sense 4 & 5, 100 GB free with Samsung device
Google Drive;15 GB free, 100 GB to 30 TB paid, Unlimited Storage for G Suite Business (1 TB per user if there are fewer than 5 users);5 TB;?;No;OAuth2;No;Yes;No;No;15;;;Additional space for limited time period with some devices and services.
IBM Connections Files Cloud;1 TB paid (60-day free trial);2 GB;None;No;CMIS, REST, Atom (standard) and OAuth2;No;Yes;?;?;5;;;Subscription costs US$6/year
Apple iCloud;5 GB free, 50 GB to 2 TB paid;50 GB;200/400/600 GB per month;No;Yes;No;Partly;No;?;5;;;25 GB for previous MobileMe account subscriptions
Jumpshare;2 GB free, 1 TB paid;250 MB free, Unlimited paid;5GB per month free, 200GB per month on paid plan;Yes;?;?;?;?;No;2;;;Real-time file sharing with built-in utilities for screenshots, screencasts, notes, and voice clips.
MediaFire;10 GB, +50 GB for referrals up to 1 TB Pro accounts, 100 TB Business accounts;20 GB;10 TB pro plan, Business plans receive an amount of bandwidth per month equal to ten times the account’s storage space.;Yes;Yes;No;Yes;?;Yes;10;;;Resuming of interrupted downloads possible.
Mega;15 GB free, up to 50 GB free trial, up to 16 TB paid;Available cloud drive space;10 GB free, Up to 96 TB per month paid.;No;Yes;No;Yes;?;Yes;15;;;Apps for Windows, macOS, Linux, iOS, Android, Windows Phone, Blackberry, Chrome, Firefox, Safari Supports HTML5 browsers.
OneDrive;5 GB free (since 31 January 2016) +500 MB free for referrals up to 5 GB, 200 GB paid 1 TB with paid Office 365 account by default, can register 5 accounts for up to 5TB combined.;100 GB;None;Yes;Yes;No;Yes (Office files only);No;?;5;;;Fetch files allows remote access of files on Windows with OneDrive installed 25 GB free for grandfathered accounts before April 2012
SecureSafe;100MB free, up to 100GB paid;? 2GB limit for SecureSend;None;No;No;No;No;?;Yes;0.1;;;Offers Data Inheritance
SugarSync;60 GB personal paid, Unlimited GB professional paid;None;10 GB/file/day free, 250 GB file/day paid;No;REST;?;Yes;?;No;0;;;If you hit the limit your links will be disabled for 24 hours. The bandwidth limits only apply to public links.
Tencent Weiyun;2 TB (10 GB free);1 GB regular upload, 32 GB Power Upload plug-in;None;No;No;No;No;?;No;10;;;In English and Chinese (free version in Chinese only)
TitanFile;No free space, unlimited paid;100 MB free, 1 GB paid, 4 GB professional;None;No;Yes;Yes For enterprise clients only;Yes;?;Yes for paid plans;0;;;HIPAA-compliant, group messaging, audit logs, granular security control, embedable on website.
Tresorit;3 GB free trial, 100-1000 GB paid plans;500 MB free, 5 GB premium, 10 GB rest of paid plans;None;No;No;No;For paid plans only;No;Yes;3;;;Files are client-side encrypted, zero-knowledge principles are used to prevent Tresorit itself from reading the files.
Wasabi;unlimited. paid only.;?;?;?;Yes;?;?;?;?;0;Yes;?;
Yandex Disk;up to 20 GB free (10 GB when registering), up to 1024 GB paid;2 GB upload via Web or WebDAV, 50 GB upload via application;200% of storage size per day;No;Yes: REST, WebDAV, SDK;No;14 days with free accounts 90 days with paid ones;?;No;10;;;English, Russian, Ukrainian and Turkish interfaces. Service is tightly integrated with other Yandex services. Native apps for Windows, macOS, Linux, iOS, Android. Client-side encryption is available with 3rd party open source clients.
Web host;Storage size;Max. file size;Traffic or bandwidth limit;Remote uploading?;Developer API?;FTP upload possible?;File versioning;Follows symlinks;Client-side encryption;Free GB (number only);Append-only support?;Lifecycle Policy support?;Misc. notes
